"description","regex"
"Search for a string made of two uppercase letters followed by one digit.","^[A-Z]{2}[0-9]{1}$"
"Detect a string made of two uppercase letters followed by two lowercase letters.","^[A-Z]{2}[a-z]{2}$"
"Identify a string that is exactly the word 'cache'.","^cache$"
"Extract a string where the substring 'login' is immediately followed by a five-digit id.","^.*login\d{5}.*$"
"Search for a string that ends with the word 'item'.","^.*item$"
"Identify a string that ends with the word 'email'.","^.*email$"
"Test whether the input is a string that starts with the word 'time'.","^time.*$"
"Validate a string that starts with the word 'config'.","^config.*$"
"Find a string where the substring 'session' is immediately followed by a two-digit id.","^.*session\d{2}.*$"
"Capture a two-decimal amount that follows an at sign, using a positive lookbehind.","(?<=@)\d+\.\d{2}"
"Check if the input is a string where the substring 'stack' is immediately followed by a two-digit id.","^.*stack\d{2}.*$"
"Check if the input is a string where the substring 'date' is immediately followed by a six-digit id.","^.*date\d{6}.*$"
"Identify a string of exactly four special characters.","^[!@#$%^&*]{4}$"
"Search for a string of at least two alphanumeric characters.","^[A-Za-z0-9]{2,}$"
"Identify a string of word characters that does not start with the word 'Report', using a negative lookahead.","^(?!Report)\w+$"
"Identify a string where the substring 'city' is immediately followed by a two-digit id.","^.*city\d{2}.*$"
"Match a string containing the standalone whole word 'flag'.","^.*\bflag\b.*$"
"Validate the run of digits that comes right before the unit 'mb' (megabytes), using a positive lookahead.","\d+(?=mb)"
"Search for a string where the substring 'test' is immediately followed by a two-digit id.","^.*test\d{2}.*$"
"Extract a string containing the substring 'address'.","^.*address.*$"
"Extract a string where one or more digits come immediately before the word 'token'.","^.*\d+token.*$"
"Match a string containing the substring 'config'.","^.*config.*$"
"Extract a string where the substring 'graph' is immediately followed by a six-digit id.","^.*graph\d{6}.*$"
"Validate a string containing the substring 'year'.","^.*year.*$"
"Identify a string where the word 'city' is followed by one or more digits.","^.*city\d+.*$"
"Test whether the input is a string that starts with the word 'amount'.","^amount.*$"
"Find a string of one or more punctuation marks.","^[.,;:!?]+$"
"Check if the input is a string where the word 'data' is followed by one or more digits.","^.*data\d+.*$"
"Find a string of two letters and three digits separated by a dot.","^[A-Za-z]{2}\.[0-9]{3}$"
"Extract a string of four letters and four digits separated by a slash.","^[A-Za-z]{4}/[0-9]{4}$"
"Identify a string where the substring 'ticket' is immediately followed by a four-digit id.","^.*ticket\d{4}.*$"
"Detect a string of exactly one hexadecimal digit.","^[0-9A-Fa-f]{1}$"
"Search for a string where the substring 'admin' is immediately followed by a two-digit id.","^.*admin\d{2}.*$"
"Match a string that starts with the word 'hour'.","^hour.*$"
"Validate a string of two lowercase letters and two digits separated by a colon.","^[a-z]{2}:[0-9]{2}$"
"Capture a string where the substring 'gamma' is immediately followed by a two-digit id.","^.*gamma\d{2}.*$"
"Identify a string of between one and three alphanumeric characters.","^[A-Za-z0-9]{1,3}$"
"Match a string of four lowercase letters and two digits separated by a dot.","^[a-z]{4}\.[0-9]{2}$"
"Check if the input is a string of four letters and four digits separated by a hyphen.","^[A-Za-z]{4}-[0-9]{4}$"
"Search for a string that is exactly the word 'user'.","^user$"
"Validate a string where one or more digits come immediately before the word 'month'.","^.*\d+month.*$"
"Identify a string of word characters that does not start with the word 'Cache', using a negative lookahead.","^(?!Cache)\w+$"
"Test whether the input is a string where the word 'phone' is followed by one or more digits.","^.*phone\d+.*$"
"Match a string made of three letters followed by four digits.","^[A-Za-z]{3}[0-9]{4}$"
"Extract a string containing the standalone whole word 'profile'.","^.*\bprofile\b.*$"
"Identify a string of three lowercase letters and two digits separated by a slash.","^[a-z]{3}/[0-9]{2}$"
"Extract a string of exactly one alphanumeric character.","^[A-Za-z0-9]{1}$"
"Capture a string where the substring 'total' is immediately followed by a two-digit id.","^.*total\d{2}.*$"
"Capture a string made of four uppercase letters followed by one lowercase letter.","^[A-Z]{4}[a-z]{1}$"
"Search for a string where the substring 'config' is immediately followed by a three-digit id.","^.*config\d{3}.*$"
"Test whether the input is a string containing the substring 'address'.","^.*address.*$"
"Check if the input is a string of exactly four whitespace characters.","^\s{4}$"
"Extract a string where the word 'session' is followed by one or more digits.","^.*session\d+.*$"
"Identify a string that ends with the word 'country'.","^.*country$"
"Check if the input is a string that ends with the word 'time'.","^.*time$"
"Extract a string that ends with the word 'batch'.","^.*batch$"
"Test whether the input is a string where the substring 'login' is immediately followed by a three-digit id.","^.*login\d{3}.*$"
"Extract a string made of one uppercase letter followed by two lowercase letters.","^[A-Z]{1}[a-z]{2}$"
"Check if the input is a string where the substring 'state' is immediately followed by a two-digit id.","^.*state\d{2}.*$"
"Validate a string where the substring 'country' is immediately followed by a five-digit id.","^.*country\d{5}.*$"
"Capture a string containing the standalone whole word 'profile'.","^.*\bprofile\b.*$"
"Find a string where the substring 'email' is immediately followed by a two-digit id.","^.*email\d{2}.*$"
"Check if the input is a string where the substring 'login' is immediately followed by a three-digit id.","^.*login\d{3}.*$"
